,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
3715,3715,164.5247585,165.8751005,5.321552,5.298441,-1.882379,Stable
3716,3716,169.0672611,167.9096398,5.339221,5.30511,-3.9114082,Stable
3717,3717,177.7196206,156.499985,5.365552,5.240774,-12.5830333,Toilet flushing
3718,3718,171.0271626,53.5203064,5.29944,4.712552,-114.3488657,Washing clothes
3719,3719,58.6346495,62.1973764,4.760331,4.81122,5.8409298,Stable
3720,3720,79.4174613,83.2913626,4.841201,4.89633,4.5903629,Stable
3721,3721,87.9438219,91.0042621,4.912551,4.89011,-2.1978718,Stable
3722,3722,88.5685489,70.8129628,4.290771,4.197693,-13.830843,Toilet flushing
3723,3723,71.5179643,606.6428813,4.170227,7.28302,534.8262396,Tank Refilling
3724,3724,613.4062138,611.1901143,7.333374,7.286072,-3.2526142,Toilet flushing
3725,3725,597.2819074,598.0373506,7.247925,7.202148,-7.6822058,Toilet flushing
3726,3726,587.1621696,475.6465337,7.188416,6.523132,-113.2057761,Washing clothes
3727,3727,474.1154293,420.9443534,6.492615,6.190491,-52.97279,Taking a bath
3728,3728,416.3181658,419.1602271,6.184387,6.210327,6.6579641,Stable
3729,3729,416.8524361,410.9069346,6.161499,6.144714,0.6750345,Stable
3730,3730,461.3351361,466.6354566,6.408691,6.469727,6.7167532,Stable
3731,3731,539.2924977,731.5091449,6.896973,7.995605,193.6138254,Tank Refilling
3732,3732,784.722905,766.1265532,8.300781,8.178711,-22.9086657,Toilet flushing
3733,3733,766.0147491,729.0317918,8.178711,7.995605,-29.8902926,Taking a bath
3734,3734,699.8576562,730.6442671,7.8125,7.995605,27.6039289,Tank Refilling
3735,3735,787.5490694,696.6111881,8.300781,7.8125,-86.9781448,Washing clothes
3736,3736,695.1214208,662.2582988,7.870812,7.714569,-24.3223536,Taking a bath
3737,3737,668.6949926,656.2109607,7.829501,7.762872,-11.1684678,Toilet flushing
3738,3738,662.4106973,727.2001241,7.801964,8.135016,56.2553533,Tank Refilling
3739,3739,730.4151508,726.6149066,8.159945,8.13684,-3.0596669,Stable
3740,3740,733.6251237,726.8869333,8.174801,8.116451,-10.9101398,Toilet flushing
3741,3741,726.9112027,660.374253,8.156839,7.774717,-65.822644,Taking a bath
3742,3742,672.0059128,666.7441856,7.8085,7.813102,0.5836436,Stable
3743,3743,680.6917328,618.0007797,7.850152,7.547993,-61.8641201,Taking a bath
3744,3744,616.5457364,582.5167687,7.573694,7.370448,-38.8707072,Taking a bath
3745,3745,586.7248948,520.1658254,7.411821,7.015553,-73.2707498,Washing clothes
3746,3746,523.8378199,528.9062499,7.037191,7.081398,6.6961789,Stable
3747,3747,533.3646083,566.4041169,7.103001,7.278067,35.3694101,Tank Refilling
3748,3748,573.9247957,507.4606465,7.317157,6.955572,-65.9233236,Taking a bath
3749,3749,511.1881572,450.0152353,6.986645,6.615208,-64.7045825,Taking a bath
3750,3750,450.7093615,384.6718226,6.637449,6.283577,-69.4720489,Taking a bath
3751,3751,389.6500304,400.3601302,6.309725,6.325906,-1.1348672,Stable
3752,3752,399.3056714,472.0168141,6.358516,6.744979,69.6799809,Tank Refilling
3753,3753,479.0010344,469.1590193,6.769376,6.715279,-7.284106,Toilet flushing
3754,3754,476.6004575,413.1714996,6.747174,6.382272,-65.3462172,Taking a bath
3755,3755,413.7907841,352.3814324,6.40658,6.092264,-61.5332987,Taking a bath
3756,3756,359.0161263,291.6120941,6.117571,5.73931,-69.6429921,Taking a bath
